actor_id,folder,score_factory,score_standalone,prompt_words,prompt_markers,intents_count,internal_missing_refs,external_deps
IT-SecurityMaster,20_Agents/IT-SecurityMaster,9.1,9.1,1343,3,14,0,0
IT-ClientDocMaster,20_Agents/IT-ClientDocMaster,9.0,9.0,4319,5,6,3,0
IT-UrgenceMaster,20_Agents/IT-UrgenceMaster,9.0,9.0,1959,3,15,3,0
IT-Commandare-Infra,20_Agents/IT-Commandare-Infra,8.9,8.45,1485,3,15,1,3
IT-ScriptMaster,20_Agents/IT-ScriptMaster,8.9,8.9,1165,7,2,0,0
IT-Assistant-N2,20_Agents/IT-Assistant-N2,8.8,8.8,4068,4,12,4,0
IT-Commandare-TECH,20_Agents/IT-Commandare-TECH,8.8,8.35,1432,2,6,0,3
IT-FrontLine,20_Agents/IT-FrontLine,8.8,8.8,2467,5,16,4,0
IT-CloudMaster,20_Agents/IT-CloudMaster,8.7,8.7,1344,4,4,0,0
IT-VoIPMaster,20_Agents/IT-VoIPMaster,8.7,8.7,1517,3,3,0,0
IT-Commandare-OPR,20_Agents/IT-Commandare-OPR,8.6,8.15,1419,2,12,1,3
IT-NOCDispatcher,20_Agents/IT-NOCDispatcher,8.6,8.6,1212,2,6,1,0
IT-AssetMaster,20_Agents/IT-AssetMaster,8.5,8.5,1703,3,3,1,0
IT-BackupDRMaster,20_Agents/IT-BackupDRMaster,8.5,8.5,1479,4,3,1,0
IT-Commandare-NOC,20_Agents/IT-Commandare-NOC,8.5,7.6,1388,3,14,3,6
IT-ReportMaster,20_Agents/IT-ReportMaster,8.5,8.5,1414,4,2,1,0
IT-MonitoringMaster,20_Agents/IT-MonitoringMaster,8.4,8.4,1457,2,3,0,0
IT-NetworkMaster,20_Agents/IT-NetworkMaster,8.4,8.4,1409,2,3,0,0
IT-TicketScribe,20_Agents/IT-TicketScribe,8.4,8.4,2268,4,3,4,0
OPS-DossierIA,OPS/OPS-DossierIA,8.2,8.2,761,4,6,2,0
IT-Assistant-N3,20_Agents/IT-Assistant-N3,8.0,8.0,5292,6,33,9,0
IT-KnowledgeKeeper,20_Agents/IT-KnowledgeKeeper,8.0,8.0,1354,1,4,2,0
IT-MaintenanceMaster,20_Agents/IT-MaintenanceMaster,8.0,8.0,3023,3,6,8,0
OPS-RouterIA,OPS/OPS-RouterIA,8.0,7.7,696,5,5,3,2
IT-SysAdmin,20_Agents/IT-SysAdmin,7.6,7.6,2727,3,6,11,0
OPS-PlaybookRunner,OPS/OPS-PlaybookRunner,7.4,7.25,829,4,4,4,1
