where,ref,type,severity,class,agent,suggestions
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/20_TEMPLATES/TEMPLATE_BUNDLE_CW_CLOSE.md,text_ref,P0,internal_missing,,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE_BUNDLE_CW_CLOSE.md | IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE__CW_DISCUSSION.md | IT-SHARED/80_EXEMPLES/EXEMPLES_CLOSE_CW_REELS.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_Assistant-N3_V1.md.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_Assistant-N3_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Assistant-N2_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_AssistanTI-N3_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-AssetMaster_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_AssetMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_VoIPMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_UrgenceMaster_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-BackupDRMaster_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_BackupDRMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_VoIPMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_UrgenceMaster_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-ClientDocMaster_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_ClientDocMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_VoIPMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_UrgenceMaster_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-CloudMaster_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_CloudMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_VoIPMaster_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_UrgenceMaster_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-Commandare-Infra_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-Infra_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-TECH_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-OPR_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-Commandare-NOC_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-NOC_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-TECH_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-OPR_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-Commandare-OPR_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-OPR_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-TECH_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-NOC_V1.md
00_INDEX/KNOWLEDGE_INDEX.yaml,IT-SHARED/60_BUNDLES/BUNDLE_KP_IT-Commandare-TECH_V1.md,text_ref,P0,internal_missing,,IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-TECH_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-OPR_V1.md | IT-SHARED/60_BUNDLES/BUNDLE_KP_Commandare-NOC_V1.md
