path,category,score,words,headings,bullets,codeblocks,objectif,prereq,procedure,validation,rollback,escalade,safety
IT-SHARED/10_RUNBOOKS/RUNBOOK_MASTER__IT_v1.md,RUNBOOK_MASTER__IT_v1.md,10.0,13209,527,900,133,True,True,True,True,True,True,True
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__Quick_Start.md,INFRA,9.1,699,27,24,16,True,True,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/SUPPORT/RUNBOOK__IT_CW_INTERVENTION_LIVE_CLOSE.md,SUPPORT,9.0,1454,44,176,8,True,False,True,True,True,True,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Patching_COMPLET.md,MAINTENANCE,8.4,3282,84,22,34,False,False,False,True,True,True,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_AUDIT_TRIMESTRIEL.md,MAINTENANCE,8.4,1377,30,92,28,True,True,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/RUNBOOK__IT_AUDIT_TRIMESTRIEL_V1.md,MAINTENANCE,8.4,1377,30,92,28,True,True,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/RUNBOOK__IT_AUDIT_TRIMESTRIEL_V1.md,MAINTENANCE,8.4,1375,30,92,28,True,True,False,True,True,False,False
IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT_RB_Windows_Patching.md,MAINTENANCE,8.4,1315,40,22,26,False,False,True,True,True,False,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/MAINT_RB_Windows_Patching.md,MAINTENANCE,8.4,1310,40,22,26,False,False,True,True,True,False,True
IT-SHARED/10_RUNBOOKS/MAINTENANCE/99_ARCHIVE/RUNBOOK__Windows_Patching.md,MAINTENANCE,8.4,1310,40,22,26,False,False,True,True,True,False,True
IT-SHARED/10_RUNBOOKS/INFRA/RUNBOOK__IT_VEEAM_OPERATIONS_V1.md,INFRA,8.25,1551,27,18,26,False,False,True,True,True,False,True
IT-SHARED/10_RUNBOOKS/NOC/NOC__RUNBOOK_VEEAM_OPERATIONS_V1.md,NOC,8.25,1551,27,18,26,False,False,True,True,True,False,True
IT-SHARED/10_RUNBOOKS/SECURITY/RUNBOOK__Alert_Response.md,SECURITY,8.25,835,28,18,16,True,False,False,True,False,True,True
IT-SHARED/10_RUNBOOKS/SECURITY/SECURITY__RUNBOOK__Alert_Response.md,SECURITY,8.25,835,28,18,16,True,False,False,True,False,True,True
